n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
300,300,500,1,0.8,0.3,-0.08590516468726106,NA
300,300,500,1,0.95,0.005,91.08429732861764,NA
300,300,500,1,0.95,0.05,-0.09965552566823521,NA
300,300,500,1,0.95,0.3,-0.10866119092726538,NA
300,300,500,1,1,0.005,-0.011999999999911387,NA
300,300,500,1,1,0.05,0.11920000000008313,NA
300,300,500,1,1,0.3,-0.14266666666664282,NA
300,300,5000,0.8,0.8,0.005,255.92091868701038,NA
300,300,5000,0.8,0.8,0.05,2.0514643104395103,NA
300,300,5000,0.8,0.8,0.3,-0.10926181181841743,NA
300,300,5000,0.8,0.95,0.005,91.45488939321824,NA
300,300,5000,0.8,0.95,0.05,-0.4953094147713555,NA
300,300,5000,0.8,0.95,0.3,0.17531602315327505,NA
300,300,5000,0.8,1,0.005,0.0755535344858227,NA
300,300,5000,0.8,1,0.05,0.044739070097485345,NA
300,300,5000,0.8,1,0.3,0.06280512837196033,NA
300,300,5000,0.95,0.8,0.005,201.75190620401906,NA
300,300,5000,0.95,0.8,0.05,-1.1474677865544736,NA
300,300,5000,0.95,0.8,0.3,-0.2330774885484684,NA
300,300,5000,0.95,0.95,0.005,70.55977253871302,NA
300,300,5000,0.95,0.95,0.05,-0.3470290743379373,NA
300,300,5000,0.95,0.95,0.3,-0.02890819572024898,NA
300,300,5000,0.95,1,0.005,-0.06369323460769447,NA
300,300,5000,0.95,1,0.05,-0.05048810856723984,NA
300,300,5000,0.95,1,0.3,0.015246871303479608,NA
300,300,5000,1,0.8,0.005,187.26992286045657,NA
300,300,5000,1,0.8,0.05,-0.2569830784941579,NA
300,300,5000,1,0.8,0.3,-0.20624738990445332,NA
300,300,5000,1,0.95,0.005,63.98758454724278,NA
300,300,5000,1,0.95,0.05,-0.08953645849343883,NA
300,300,5000,1,0.95,0.3,-0.033264766865677885,NA
300,300,5000,1,1,0.005,0.054799999999848026,NA
300,300,5000,1,1,0.05,0.038079999999995895,NA
300,300,5000,1,1,0.3,-0.025499999999993122,NA
300,300,20000,0.8,0.8,0.005,249.2951620361906,NA
