n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi
300,300,5000,1,0.95,0.005,65.37009009653308
300,300,5000,1,0.95,0.05,-0.5039966719126571
300,300,5000,1,0.95,0.3,-0.08538690457014313
300,300,5000,1,1,0.005,0.06279999999985256
300,300,5000,1,1,0.05,0.040440000000002696
300,300,5000,1,1,0.3,-0.02869999999999262
300,300,20000,0.7,0.7,0.005,441.34858799373774
300,300,20000,0.7,0.7,0.05,11.126395885296235
300,300,20000,0.7,0.7,0.3,-0.5191978408091898
300,300,20000,0.7,0.95,0.005,113.0098490645119
300,300,20000,0.7,0.95,0.05,0.41731848529502624
300,300,20000,0.7,0.95,0.3,0.17903328351589107
300,300,20000,0.7,1,0.005,0.2996138759911969
300,300,20000,0.7,1,0.05,0.14351687549001013
300,300,20000,0.7,1,0.3,0.22437423019661118
300,300,20000,0.95,0.7,0.005,269.78123374041877
300,300,20000,0.95,0.7,0.05,1.7080742099087192
300,300,20000,0.95,0.7,0.3,-0.426842079713737
300,300,20000,0.95,0.95,0.005,70.10352167334503
300,300,20000,0.95,0.95,0.05,-0.17065887765448096
300,300,20000,0.95,0.95,0.3,-0.022376829475275382
300,300,20000,0.95,1,0.005,-0.1294287296945036
300,300,20000,0.95,1,0.05,0.023492290715146358
300,300,20000,0.95,1,0.3,0.025704343485866143
300,300,20000,1,0.7,0.005,245.44941244972148
300,300,20000,1,0.7,0.05,2.369162707043515
300,300,20000,1,0.7,0.3,-0.27192170905806134
300,300,20000,1,0.95,0.005,63.296199032361486
300,300,20000,1,0.95,0.05,-0.5556427180460483
300,300,20000,1,0.95,0.3,-0.07510276234556912
300,300,20000,1,1,0.005,0.026499999999998747
300,300,20000,1,1,0.05,-0.028300000000008874
300,300,20000,1,1,0.3,0.006321666666679142
300,3000,500,0.7,0.7,0.005,395.8496825350832
300,3000,500,0.7,0.7,0.05,10.764962812867873
300,3000,500,0.7,0.7,0.3,0.5237953191381355
300,3000,500,0.7,0.95,0.005,89.33856895949418
300,3000,500,0.7,0.95,0.05,-0.3624401607589395
300,3000,500,0.7,0.95,0.3,0.26758078695373244
300,3000,500,0.7,1,0.005,-0.13090038152674052
300,3000,500,0.7,1,0.05,0.040397455116761294
300,3000,500,0.7,1,0.3,0.13140168364254395
300,3000,500,0.95,0.7,0.005,221.47197857629965
300,3000,500,0.95,0.7,0.05,2.3117744046177444
300,3000,500,0.95,0.7,0.3,-0.22167324863797688
300,3000,500,0.95,0.95,0.005,55.683151651632166
300,3000,500,0.95,0.95,0.05,-0.22668552915341977
300,3000,500,0.95,0.95,0.3,-0.08458640944397633
300,3000,500,0.95,1,0.005,-0.2854003903973896
300,3000,500,0.95,1,0.05,0.06347673116008368
300,3000,500,0.95,1,0.3,-0.044725923651456334
300,3000,500,1,0.7,0.005,214.83446595152247
300,3000,500,1,0.7,0.05,1.4135720370346827
300,3000,500,1,0.7,0.3,-0.12079390798475087
300,3000,500,1,0.95,0.005,49.79365849716866
300,3000,500,1,0.95,0.05,-0.42418928513941745
300,3000,500,1,0.95,0.3,0.02172296421359965
300,3000,500,1,1,0.005,0.8520000000000922
300,3000,500,1,1,0.05,0.01880000000008264
300,3000,500,1,1,0.3,0.119200000000023
300,3000,5000,0.7,0.7,0.005,161.73037327252086
300,3000,5000,0.7,0.7,0.05,-0.6553033134168024
300,3000,5000,0.7,0.7,0.3,0.1307748786317231
300,3000,5000,0.7,0.95,0.005,26.281465468136062
300,3000,5000,0.7,0.95,0.05,0.22303216030009065
300,3000,5000,0.7,0.95,0.3,0.05122884563561285
300,3000,5000,0.7,1,0.005,-0.11209263455680754
300,3000,5000,0.7,1,0.05,0.3151908244247298
300,3000,5000,0.7,1,0.3,0.09014072677197375
300,3000,5000,0.95,0.7,0.005,85.93301875038193
300,3000,5000,0.95,0.7,0.05,-0.8136663636459374
300,3000,5000,0.95,0.7,0.3,-0.050855030002535294
300,3000,5000,0.95,0.95,0.005,11.779299636307284
300,3000,5000,0.95,0.95,0.05,-0.05740858164346441
300,3000,5000,0.95,0.95,0.3,-0.026927070646498574
300,3000,5000,0.95,1,0.005,-0.12881445424769294
300,3000,5000,0.95,1,0.05,0.08962593297265342
300,3000,5000,0.95,1,0.3,-0.010595627739436638
300,3000,5000,1,0.7,0.005,75.71127140563486
300,3000,5000,1,0.7,0.05,-0.27554921605668636
300,3000,5000,1,0.7,0.3,-0.03510630967655064
300,3000,5000,1,0.95,0.005,9.78097588522653
300,3000,5000,1,0.95,0.05,0.18872507794420734
300,3000,5000,1,0.95,0.3,-0.03468102114954445
300,3000,5000,1,1,0.005,0.36079999999983486
300,3000,5000,1,1,0.05,0.051679999999998394
300,3000,5000,1,1,0.3,0.019266666666665582
300,3000,20000,0.7,0.7,0.005,128.57127641791118
300,3000,20000,0.7,0.7,0.05,-0.43887818715747373
300,3000,20000,0.7,0.7,0.3,0.3055109629153304
300,3000,20000,0.7,0.95,0.005,16.823566475086
300,3000,20000,0.7,0.95,0.05,-0.012834839768618989
300,3000,20000,0.7,0.95,0.3,0.1754905606162945
300,3000,20000,0.7,1,0.005,0.2834499428878631
300,3000,20000,0.7,1,0.05,0.16351259133490226
300,3000,20000,0.7,1,0.3,0.09091215471229708
300,3000,20000,0.95,0.7,0.005,67.40101819865866
300,3000,20000,0.95,0.7,0.05,-0.05953162476121654
300,3000,20000,0.95,0.7,0.3,-0.016076444453709076
300,3000,20000,0.95,0.95,0.005,7.760606852317986
300,3000,20000,0.95,0.95,0.05,-0.044180382834546617
300,3000,20000,0.95,0.95,0.3,0.012967876543997411
300,3000,20000,0.95,1,0.005,0.053623646840486594
300,3000,20000,0.95,1,0.05,-0.0037557399611559683
300,3000,20000,0.95,1,0.3,0.017057912096385408
300,3000,20000,1,0.7,0.005,57.17382593159853
300,3000,20000,1,0.7,0.05,-0.5639762196461701
300,3000,20000,1,0.7,0.3,-0.026690735362489004
300,3000,20000,1,0.95,0.005,5.691505386426695
300,3000,20000,1,0.95,0.05,-0.03537045717594278
300,3000,20000,1,0.95,0.3,7.37444046883251e-4
300,3000,20000,1,1,0.005,-0.050199999999996775
300,3000,20000,1,1,0.05,0.031899999999987494
300,3000,20000,1,1,0.3,0.0054483333333429
3000,30,500,0.7,0.7,0.005,1372.485185624516
3000,30,500,0.7,0.7,0.05,84.41927418889811
3000,30,500,0.7,0.7,0.3,-6.3739304183823196
3000,30,500,0.7,0.95,0.005,431.98762041976516
3000,30,500,0.7,0.95,0.05,12.31616722827264
3000,30,500,0.7,0.95,0.3,-0.8555706909932903
3000,30,500,0.7,1,0.005,0.14366397062766378
3000,30,500,0.7,1,0.05,-0.15480289705457895
3000,30,500,0.7,1,0.3,0.005882518156382263
3000,30,500,0.95,0.7,0.005,878.3392959923892
3000,30,500,0.95,0.7,0.05,45.691363362254016
3000,30,500,0.95,0.7,0.3,-4.0273028582229475
3000,30,500,0.95,0.95,0.005,306.8947567914746
3000,30,500,0.95,0.95,0.05,5.111948620706713
3000,30,500,0.95,0.95,0.3,-0.5363955381015492
3000,30,500,0.95,1,0.005,0.17053468323794188
3000,30,500,0.95,1,0.05,-0.07295489901280872
3000,30,500,0.95,1,0.3,0.061800602233985646
3000,30,500,1,0.7,0.005,830.9864741025432
3000,30,500,1,0.7,0.05,39.589641765358145
3000,30,500,1,0.7,0.3,-2.6934740239002997
3000,30,500,1,0.95,0.005,287.21430541871905
3000,30,500,1,0.95,0.05,4.9210032756516195
3000,30,500,1,0.95,0.3,-0.40679425617138704
3000,30,500,1,1,0.005,-0.24399999999992136
3000,30,500,1,1,0.05,0.30320000000008673
3000,30,500,1,1,0.3,-0.11213333333331965
3000,30,5000,0.7,0.7,0.005,1301.2074492709964
3000,30,5000,0.7,0.7,0.05,83.9291761690146
3000,30,5000,0.7,0.7,0.3,-6.519890975582495
3000,30,5000,0.7,0.95,0.005,425.4087653902359
3000,30,5000,0.7,0.95,0.05,12.385081669801679
3000,30,5000,0.7,0.95,0.3,-0.9889581301052627
3000,30,5000,0.7,1,0.005,-0.049569744011539185
3000,30,5000,0.7,1,0.05,-0.04341680118416513
