n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.95,0.025,-22.1733008347261,0.015893817268824894,0.019404152293007102,0.955,3.3238821660820648,0.017749411578620665,0.020227177124039934,0.952,0,0,1000
40,250,2500,0.8,0.95,0.030000000000000002,-25.79585370395561,0.016589431586472612,0.019441816676679043,0.958,2.247796489561147,0.018709268658605782,0.020358434387019446,0.95,0,0,1000
40,250,2500,0.8,0.95,0.034999999999999996,-28.011929375675624,0.01735108971460313,0.019536444204729768,0.946,0.4023916811499757,0.019573716845722556,0.020531960457025173,0.948,0,0,1000
40,250,2500,0.8,0.95,0.04,-27.02231771738021,0.01816714343340657,0.01942150142276813,0.949,1.4992491037340954,0.020124070135052494,0.020498825477734378,0.949,0,0,1000
40,250,2500,0.8,0.95,0.045,-29.120282675306246,0.018988457539262246,0.019688222199596855,0.921,0.3495522657432421,0.020838475802404055,0.02085086380764157,0.95,0,0,1000
40,250,2500,0.8,0.95,0.049999999999999996,-30.521762771311888,0.01973244054547757,0.01979205723465745,0.904,-0.5429973308496011,0.021701966079620147,0.021044762687327,0.936,0,0,1000
40,250,2500,0.8,0.95,0.055,-32.31024411037934,0.018955876368506257,0.019677190309360798,0.905,-2.2658457174684115,0.021084901354811156,0.021003187854832548,0.944,0,0,1000
40,250,2500,0.8,0.95,0.06,-29.13245181820823,0.019337327971383152,0.019592868902532635,0.889,0.3033557387742992,0.021515181175432937,0.021027826303972836,0.94,0,0,1000
40,250,2500,0.8,0.95,0.065,-28.725450851673557,0.01882888676505102,0.019503830662903978,0.888,1.484482727758273,0.020688336354123347,0.02104471816309504,0.961,0,0,1000
40,250,2500,0.8,0.95,0.07,-30.27714854837119,0.020276015870275717,0.019695362950762543,0.835,-0.4830204603083595,0.02201340898354746,0.02131073487813442,0.951,0,0,1000
40,250,2500,0.8,0.95,0.07500000000000001,-30.000715742387854,0.02022970387423426,0.019784058607964658,0.818,0.5616895875634926,0.022494008537566952,0.021523037215001452,0.946,0,0,1000
40,250,2500,0.8,0.95,0.08,-29.577375315714406,0.019874566578333603,0.019976987093944375,0.801,1.3489735256920314,0.021635933692902388,0.02184985835632363,0.961,0,0,1000
40,250,2500,0.8,0.95,0.085,-30.44003732251111,0.020401455454645983,0.01997689381552301,0.77,0.08086298155818947,0.022450093767808193,0.021915704352364177,0.951,0,0,1000
40,250,2500,0.8,0.95,0.09000000000000001,-29.30282850940409,0.019794827631634784,0.01984607675687154,0.749,0.9962024295627634,0.02179378625819433,0.02190216861279542,0.948,0,0,1000
40,250,2500,0.8,0.95,0.095,-29.69017241661791,0.02035325231272247,0.02011090434666661,0.72,0.06041270634532817,0.02247499056721991,0.022235805807540674,0.959,0,0,1000
40,250,2500,0.8,0.95,0.1,-30.120751939686578,0.020413445586162853,0.019908611398462644,0.681,-0.4427328246084522,0.0226062647461486,0.02211401646673729,0.957,0,0,1000
40,250,2500,0.8,0.95,0.10500000000000001,-30.29756218812395,0.019858293300845233,0.020188468993582467,0.683,0.07127199571772758,0.021718429352945053,0.022545490642363154,0.958,0,0,1000
