"","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","",""
"","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","",""
"Selected Geographies","Total","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American "
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York","128439","22855","11144","59","1020","2426","7639","11711","191","1224","3906","6390","4949","2323","0","229","599","1495","2626","0","218","436","1972","19545","7603","102","374","1629","5498","11942","165","451","3058","8268","25543","11614","346","1233","4803","5232","13929","678","743","2984","9524","55547","24967","525","2038","12550","9854","30580","1819","3058","13519","12184"
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York","128609","36180","18467","162","1993","2323","13989","17713","0","1569","2565","13579","4248","955","93","97","0","765","3293","0","117","292","2884","19643","8479","61","1801","1367","5250","11164","128","1357","1084","8595","29265","11985","150","850","1241","9744","17280","218","2674","1527","12861","39273","16449","633","1772","2528","11516","22824","62","1469","5078","16215"
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York","180712","55255","28708","795","1625","8772","17516","26547","564","2886","5724","17373","5643","2527","74","159","1194","1100","3116","226","119","1368","1403","26977","10797","833","1472","2615","5877","16180","1450","1144","3763","9823","40170","17293","653","1947","4376","10317","22877","308","2070","5549","14950","52667","26006","714","2271","6911","16110","26661","904","3015","5481","17261"
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York","196756","45855","21599","1333","3053","5610","11603","24256","1016","2072","5123","16045","5850","1773","75","0","835","863","4077","148","0","1132","2797","38958","15549","1013","673","5857","8006","23409","971","787","6503","15148","57189","26415","1230","1741","6295","17149","30774","1564","2203","6470","20537","48904","22533","1673","1580","3600","15680","26371","1626","1844","4886","18015"
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York","136466","32294","16031","99","1487","270","14175","16263","472","1732","426","13633","4965","1963","0","0","40","1923","3002","0","0","123","2879","29193","11898","401","305","433","10759","17295","327","681","341","15946","34035","13756","313","1299","821","11323","20279","461","1362","724","17732","35979","16521","360","1130","667","14364","19458","404","1312","1125","16617"
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York","106339","22132","12604","0","2405","3201","6998","9528","0","1596","4120","3812","3090","657","131","0","54","472","2433","146","192","329","1766","17035","6574","0","428","1006","5140","10461","318","327","1039","8777","24558","10503","158","868","3085","6392","14055","331","912","2694","10118","39524","22271","328","3360","7680","10903","17253","845","1681","7259","7468"
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York","130504","32063","16192","6579","4491","4886","236","15871","4842","3259","7190","580","2259","977","254","84","639","0","1282","441","131","710","0","20175","8868","3772","1034","3932","130","11307","3913","1850","4901","643","36621","19292","5989","2038","9900","1365","17329","6592","2292","7537","908","39386","20943","6696","4553","8150","1544","18443","6993","2945","7518","987"
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York","121824","27191","14489","4192","2582","7541","174","12702","2487","1892","8164","159","6330","2409","481","0","1928","0","3921","633","0","3288","0","23646","10240","2587","251","7281","121","13406","2887","1273","9072","174","32683","15627","4022","925","10161","519","17056","3847","2100","10563","546","31974","16372","3585","3434","8969","384","15602","4343","2064","8841","354"
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York","153208","61982","33879","2445","4008","27426","0","28103","2309","1576","24218","0","5149","1710","177","0","1487","46","3439","230","0","3209","0","21923","10461","1626","792","8043","0","11462","1348","839","8232","1043","24492","12444","2253","1766","8338","87","12048","2166","1300","8460","122","39662","20098","3175","2533","13894","496","19564","3947","2343","13159","115"
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York","156980","46713","24617","1729","3146","10309","9433","22096","2812","3934","9356","5994","6131","2231","173","222","1318","518","3900","182","229","2236","1253","24139","10602","897","481","5651","3573","13537","517","779","6562","5679","35311","16162","1417","1834","7161","5750","19149","1622","1947","7359","8221","44686","21884","2539","4575","8966","5804","22802","2240","3508","9372","7682"
