n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.95,0.06999999999999999,-31.462194905837347,0.019319817499669573,0.019685226033630515,0.848,-1.4268473266815043,0.0209264728626272,0.021276653675558973,0.955,0,0,1000
40,250,2500,0.8,0.95,0.08,-29.692136961081648,0.020184762413623526,0.019770150269248235,0.799,0.23759198948378538,0.02196594718071004,0.021579266706458666,0.95,0,0,1000
40,250,2500,0.8,0.95,0.09,-29.63450617429805,0.019232606394336604,0.0197345932945834,0.751,0.032756923982792584,0.021266378322423063,0.021755400341670186,0.96,0,0,1000
40,250,2500,0.8,0.95,0.09999999999999999,-29.525702835581708,0.020343459107726287,0.020192153777113354,0.693,1.2221745665193935,0.02252373944379097,0.022495264101198526,0.956,0,0,1000
40,250,2500,0.8,0.95,0.11,-29.393556771988745,0.020421828904476896,0.02024703130893299,0.616,1.2092729703888765,0.022908924942981836,0.022767038711435296,0.95,0,0,1000
40,250,2500,0.8,0.95,0.12,-30.117184430976664,0.01996697250711392,0.020270799701962612,0.56,0.19986659394311918,0.02278127126745972,0.022962852748641904,0.953,0,0,1000
40,250,2500,0.8,0.95,0.13,-29.363391347012442,0.020338594865914876,0.020674842095182937,0.51,0.7077437319115314,0.02311124509721139,0.023622944441545696,0.965,0,0,1000
40,250,2500,0.8,0.95,0.14,-29.879057097708813,0.02078972517148972,0.02078018732572635,0.457,0.2786536546426196,0.0240593793450799,0.023936639428014928,0.954,0,0,1000
40,250,2500,0.8,0.95,0.15000000000000002,-29.200302843736413,0.02052167181906232,0.021013596814056335,0.409,1.1389841854104557,0.02411586128080195,0.024483576363258073,0.962,0,0,1000
40,250,2500,0.8,0.95,0.16,-29.950836474352908,0.0218202694352819,0.02127099733355209,0.36,0.17306793125018705,0.025934814142712974,0.024906917871819596,0.942,0,0,1000
40,250,2500,0.8,0.95,0.17,-30.63544264300457,0.021306130328620897,0.02158756535639285,0.31,-0.6074289316105417,0.02526730562565352,0.025443333361044315,0.96,0,0,1000
40,250,2500,0.8,0.95,0.18000000000000002,-29.34785468378413,0.021650979193745038,0.02192321572313066,0.317,1.1103925727555222,0.025882155184247666,0.026158991602906242,0.965,0,0,1000
40,250,2500,0.8,0.95,0.19,-29.48253273389792,0.022097935536494334,0.021982852525243388,0.272,0.7902431973630678,0.026539822739529352,0.02640519901042352,0.959,0,0,1000
40,250,2500,0.8,0.95,0.2,-29.515891129583995,0.022946359434114577,0.022377978829171214,0.242,0.7176020073383499,0.027660739079182983,0.02705270799183062,0.953,0,0,1000
40,250,2500,0.8,0.99,0.01,-15.23295963905555,0.006746873821796667,0.008219737558003946,0.921,12.77588823697719,0.007828491807606518,0.008884731406923837,0.902,0,0,1000
40,250,2500,0.8,0.99,0.02,-29.479496321995878,0.00796984411032356,0.008621845709845444,0.978,-0.46794457925967287,0.009397192411364602,0.009629113208220913,0.955,0,0,1000
40,250,2500,0.8,0.99,0.03,-29.138519829102393,0.008732059521461418,0.008814237864362806,0.887,0.22010614191390426,0.010087390325892589,0.01016776535903361,0.952,0,0,1000
40,250,2500,0.8,0.99,0.04,-30.59079583541186,0.00972932859037464,0.009246146869612226,0.787,-0.2629786530190976,0.01140326963262957,0.010965572986180363,0.949,0,0,1000
40,250,2500,0.8,0.99,0.05,-29.30356602428093,0.009493271211423591,0.009393690921687485,0.665,0.6451954154099299,0.011240807428504798,0.011428029631654535,0.963,0,0,1000
40,250,2500,0.8,0.99,0.060000000000000005,-29.62280169293445,0.010339468787380693,0.009750558198559805,0.519,0.5216730154510596,0.012656781318843614,0.012112517756655575,0.952,0,0,1000
40,250,2500,0.8,0.99,0.06999999999999999,-29.645020552157042,0.009847264165756299,0.010216251814584748,0.441,0.7133169828132352,0.012249820617164868,0.012890586302707424,0.971,0,0,1000
