n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRG_restriction,ASE_hat_pi_SRG_restriction,covers_pi_SRG_restriction,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM
40,250,2500,0.8,0.99,0.07985389946003679,0.806175,0.990176,0.0532884,0.01082933317621828,0.010313659826991842,0.292,0.013943677935326674,0.01353335893363739,0.951,0.013943677935326674,0.01353335893363739,0.951,0.013564897506887183,0.012671415785765902,0.942,0,0,0,907,-31.268146173589358,0.21779826886329276,0.07270804024840573,1.1540578306176397
40,250,2500,0.8,0.99,0.09005769599673488,0.80115,0.990304,0.058884,0.010901719049883504,0.010765995184996059,0.266,0.014737616629887899,0.014294690866649461,0.956,0.014737616629887899,0.014294690866649461,0.956,0.0140960431269048,0.013380245954913538,0.95,0,0,0,897,-30.586265688927064,0.5460249192694311,2.391107912128602,1.2811950397710965
40,250,2500,0.8,0.99,0.10092145976379437,0.801625,0.99002,0.0654096,0.01142510652941512,0.011280006858544927,0.212,0.015508969215554164,0.01516011528055966,0.953,0.015508969215554164,0.01516011528055966,0.953,0.014682140977509233,0.014165939403103572,0.955,0,0,0,886,-30.241974738273502,1.1700962149560086,3.1450390556681955,1.709662338941156
40,250,2500,0.8,0.99,0.10830453384621769,0.8021,0.990004,0.0693004,0.011928197403029682,0.011561894805587291,0.182,0.016005382343422532,0.01558784710677477,0.959,0.016005382343422532,0.01558784710677477,0.959,0.01547567541353822,0.014555640991294647,0.952,0,0,0,908,-30.4750472319736,0.34415626244360337,1.3984197286623894,0.5690087765559487
40,250,2500,0.8,0.99,0.11995767669210997,0.80145,0.989916,0.0757948,0.012340089038154492,0.012083208797951953,0.171,0.016765082173254137,0.0163203859215226,0.94,0.016765082173254137,0.0163203859215226,0.94,0.015815520882345675,0.01529590579300321,0.946,0,0,0,880,-30.370321051223375,-0.4255172955527128,0.4778204160044102,0.038975091584180284
40,250,2500,0.8,0.99,0.1299855839797041,0.79915,0.989856,0.081994,0.0124145012274874,0.012652230748636677,0.17,0.01713262659299248,0.0171800461813652,0.954,0.01713262659299248,0.0171800461813652,0.954,0.016490905439547468,0.016134115954227,0.958,0,0,0,886,-29.512744762603912,0.4835390396516148,1.8822783721319485,0.9410814206358246
40,250,2500,0.8,0.99,0.14011042979399077,0.797525,0.990028,0.0878516,0.013597736525570244,0.013152322074606287,0.177,0.018922440413436565,0.017959655929950767,0.944,0.018922440413436565,0.017959655929950767,0.944,0.018108374115882942,0.016869552286018264,0.943,0,0,0,876,-28.946166233329386,1.1403358491587006,1.148072232672067,1.2400022887449653
40,250,2500,0.8,0.99,0.15025204503364473,0.8035,0.99002,0.0935704,0.01379953051106823,0.013400625824652176,0.136,0.018891115068823117,0.018287171490506432,0.942,0.018891115068823117,0.018287171490506432,0.942,0.018187557769383737,0.017193820345014835,0.934,0,0,0,878,-29.466358662988164,-0.1797759782696375,-0.0636674048536282,-0.04425121647985988
40,250,2500,0.8,0.99,0.16032946675383158,0.800675,0.990068,0.1000328,0.014324579211349095,0.01402431483874258,0.143,0.020379867799189544,0.01920723031618465,0.939,0.020379867799189544,0.01920723031618465,0.939,0.019291985379074495,0.01810701403337819,0.934,0,0,0,893,-28.493935300399396,1.085031925659419,-0.9926355544238892,1.0488921845265005
40,250,2500,0.8,0.99,0.17026230863197309,0.7994,0.9901,0.1059656,0.014301399317415165,0.014549108494765421,0.143,0.020036357000184475,0.01988192141607609,0.955,0.020036357000184475,0.01988192141607609,0.955,0.0194265354831117,0.0187715778932654,0.947,0,0,0,895,-28.12186859892591,0.4896406039278821,0.9227568116967201,0.667851579434157
40,250,2500,0.8,0.99,0.1806330198259395,0.8019,0.989792,0.1120344,0.015518120079530445,0.015012393610513259,0.139,0.021142398320742904,0.020497728928176383,0.936,0.021142398320742904,0.020497728928176383,0.936,0.020304992698117332,0.019361717932175136,0.927,0,0,0,902,-28.36932177190826,-0.03493316492520183,0.2536873315764818,0.04461973501599797
40,250,2500,0.8,0.99,0.1900678398849502,0.801,0.989732,0.1182324,0.015717219668950216,0.015585058855444084,0.137,0.021422946633519326,0.02127780644471816,0.946,0.021422946633519326,0.02127780644471816,0.946,0.020847800879780984,0.020118762295900882,0.941,0,0,0,903,-27.722185486947453,0.6063619207487438,0.24758711357971183,0.46362985534372664
40,250,2500,0.8,0.99,0.1998390882015514,0.801275,0.990132,0.1242184,0.01651869635676049,0.016054231419382434,0.138,0.023272555001342246,0.02186665730123999,0.941,0.023272555001342246,0.02186665730123999,0.941,0.022190260423065444,0.020750210145124043,0.944,0,0,0,913,-27.24023921942919,0.42529033335727406,1.561004751152471,0.5704051981811876
