n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
40,250,2500,0.99,0.8,0.15000000000000002,0.07241452071314139,0.02922200760321435,0.02979650630595769,0.956,NA
40,250,2500,0.99,0.8,0.16,-0.8429582939591291,0.0305055132292442,0.029756628859277157,0.947,NA
40,250,2500,0.99,0.8,0.17,-1.3292194964009358,0.031086548000792955,0.029588409000585705,0.946,NA
40,250,2500,0.99,0.8,0.18000000000000002,0.5138834809435678,0.028504368990888804,0.029022631385573587,0.945,NA
40,250,2500,0.99,0.8,0.19,0.534332030023916,0.028148786696593382,0.028862603291131904,0.948,NA
40,250,2500,0.99,0.8,0.2,-0.4342974746768119,0.028344378908318046,0.028758354753370755,0.954,NA
40,250,2500,0.99,0.95,0.01,24.86382462439268,0.011638102178119262,0.015274163359232306,0.938,NA
40,250,2500,0.99,0.95,0.02,1.08323229274317,0.013965895383444513,0.015359676053915455,0.935,NA
40,250,2500,0.99,0.95,0.03,-0.34921491026339063,0.014872083713767824,0.015313508774973502,0.943,NA
40,250,2500,0.99,0.95,0.04,-1.0253018764702118,0.015944410440527294,0.015301370378905464,0.933,NA
